"Name","Id","Route","CockpitTarget","InputReferences","CockpitLuaReferences"
"FBWCatToggle","3007","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"FBWCat1","3008","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"FBWCat3","3009","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"AirBrakesAuto","3010","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"GearAuto","3011","efm","","",""
"FlapsAuto","3012","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"NoseTurnUp","3013","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"NoseTurnAuto","3014","efm","","",""
"NoseTurnDown","3015","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"AirBrakesUp","3016","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"AirBrakesDown","3017","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"GearHandleUp","3018","efm","","Input/F-CK-1C/joystick/default.lua:1",""
"GearHandleDown","3019","efm","","Input/F-CK-1C/joystick/default.lua:1",""
"FlapsUpCmd","3020","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"FlapsDownCmd","3021","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"NoseTurnToggle","3022","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"WheelBrakeAxis","3023","efm","","Input/F-CK-1C/joystick/default.lua:1",""
"WheelBrakeAxisLeft","3024","efm","","Input/F-CK-1C/joystick/default.lua:1",""
"WheelBrakeAxisRight","3025","efm","","Input/F-CK-1C/joystick/default.lua:1",""
"FBWGLimiterOverride","3026","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"FBWGLimiterOverrideToggle","3027","efm","","Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1",""
"TriggerFirstStage","3030","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"CMSForward","3031","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"CMSAft","3032","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"CMSLeft","3033","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"CMSRight","3034","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"CMSPress","3035","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"TriggerSecondStage","3036","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"MasterArmOn","3040","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"MasterArmOff","3041","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"MasterArmSim","3042","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"DogfightSwitch","3043","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"MissileUncage","3044","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"WeaponRelease","3045","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"TMSUp","3046","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"TMSDown","3047","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"TMSLeft","3048","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"TMSRight","3049","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1"
"NavMode","3050","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"MissileOverride","3051","cockpit","CMS","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/cms_system.lua:1;Cockpit/Scripts/Systems/hmcs_system.lua:1"
"SoundTestCycle","3052","cockpit","AAM_AUDIO","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","Cockpit/Scripts/Systems/aam_audio_system.lua:1"
"APMasterToggle","3100","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APMasterOn","3101","efm","","Input/F-CK-1C/joystick/default.lua:2",""
"APMasterOff","3102","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APBypass","3103","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APVertPitchHold","3110","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APVertVSHold","3111","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APVertAltHold","3112","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APVertIncrease","3113","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APVertDecrease","3114","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APLatHeadingHold","3120","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APLatHeadingSelect","3121","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APLatNavTrack","3122","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
"APLatIncrease","3123","efm","","Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2",""
